"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"27.06.2023","2.431,4","2.398,0","2.443,8","2.351,8","961,89K","2,20%"
"26.06.2023","2.379,0","2.415,0","2.448,0","2.294,0","1,93M","-0,60%"
"23.06.2023","2.393,4","2.482,4","2.487,6","2.372,0","1,87M","-3,98%"
"22.06.2023","2.492,6","2.529,2","2.537,2","2.474,0","463,16K","-1,46%"
"21.06.2023","2.529,6","2.517,4","2.542,0","2.490,8","508,84K","0,76%"
"20.06.2023","2.510,6","2.504,0","2.560,0","2.461,0","834,07K","0,01%"
"19.06.2023","2.510,4","2.546,8","2.555,6","2.475,0","1,03M","-1,44%"
"16.06.2023","2.547,0","2.607,8","2.615,0","2.500,8","2,37M","-2,04%"
"15.06.2023","2.600,0","2.640,8","2.649,0","2.557,0","1,33M","-0,76%"
"14.06.2023","2.620,0","2.570,0","2.655,0","2.550,4","1,54M","2,07%"
"13.06.2023","2.566,8","2.506,6","2.568,0","2.470,0","947,74K","2,40%"
"09.06.2023","2.506,6","2.532,6","2.557,0","2.481,0","1,36M","-0,53%"
"08.06.2023","2.520,0","2.427,0","2.523,0","2.426,0","2,59M","3,90%"
"07.06.2023","2.425,4","2.323,2","2.430,0","2.310,6","1,49M","4,40%"
"06.06.2023","2.323,2","2.290,0","2.334,6","2.260,2","685,50K","0,75%"
"05.06.2023","2.305,8","2.340,0","2.383,2","2.282,0","929,86K","-1,61%"
"02.06.2023","2.343,6","2.324,8","2.348,0","2.292,2","557,31K","1,31%"
"01.06.2023","2.313,4","2.328,2","2.356,0","2.294,8","659,18K","-0,46%"
"31.05.2023","2.324,2","2.299,6","2.353,0","2.244,2","1,04M","0,89%"
"30.05.2023","2.303,6","2.315,0","2.385,0","2.263,0","1,70M","-3,62%"
"29.05.2023","2.390,0","2.335,0","2.410,0","2.295,6","1,49M","2,93%"
"26.05.2023","2.322,0","2.356,0","2.357,6","2.294,2","1,09M","-1,19%"
"25.05.2023","2.350,0","2.222,0","2.350,0","2.165,6","3,41M","5,86%"
"24.05.2023","2.220,0","2.244,0","2.256,4","2.172,2","1,04M","-1,02%"
"23.05.2023","2.242,8","2.318,0","2.330,0","2.212,2","1,43M","-2,49%"
"22.05.2023","2.300,0","2.300,0","2.371,4","2.235,0","3,77M","3,45%"
"19.05.2023","2.223,2","2.033,0","2.285,4","2.020,0","6,56M","9,37%"
"18.05.2023","2.032,8","2.064,0","2.072,8","2.026,0","443,68K","-1,22%"
